block_id,titre,chapitre,section_or_article_header,text_content
## Bloc 25,,CHAPITRE 2,,TRAVAIL DE NUIT
## Bloc 25,,CHAPITRE 2,Art. 22.1,"Les heures pendant lesquelles le travail est considéré comme travail de nuit
sont fixées dans des conditions déterminées par décret."
## Bloc 25,,CHAPITRE 2,Art. 22.2,"Le travail de nuit est interdit aux femmes enceintes sauf avis médical
contraire et aux jeunes travailleurs âgés de moins de dix-huit ans.

Des dérogations peuvent toutefois être accordées, dans des conditions
fixées par décret, en raison de la nature particulière de l'activité
professionnelle,"
## Bloc 25,,CHAPITRE 2,Art. 22.3,"Le repos des jeunes travailleurs âgés de moins de dix-huit ans doit avoir une
durée minimale de douze heures consécutives."
## Bloc 25,,CHAPITRE 2,Art. 22.4,"Les conditions dans lesquelles s'effectue le travail de nuit, en particulier les
garanties spécifiques exigées par la nature de ce travail, sont fixées, par
décret.


---"
## Bloc 26,,CHAPITRE 3,,"TRAVAIL DES ENFANTS ET DES FEMMES, PROTECTION DE LA
MATERNITE ET EDUCATION DES ENFANTS"
## Bloc 26,,CHAPITRE 3,Art. 23.1,"La nature des travaux interdits aux femmes, aux femmes enceintes et aux
enfants est déterminée dans des conditions fixées par décret."
## Bloc 26,,CHAPITRE 3,Art. 23.2,"Les enfants ne peuvent être employés dans aucune entreprise avant l'âge de
16 ans et apprentis avant l'âge de 14 ans, sauf dérogation édictée par voie
réglementaire.

Les jeunes travailleurs âgés de 16 à 21 ans ont les mêmes droits que les
travailleurs de leur catégorie professionnelle. Les jeunes travailleurs ne
peuvent en aucun cas subir des abattements de salaires ou des déclassements
professionnels du fait de leur âge.

L'employeur tient un registre de toutes les personnes de moins de 18
ans employées dans son entreprise, avec pour chacune d'elles, l'indication de
sa date de naissance."
## Bloc 26,,CHAPITRE 3,Art. 23.3,"L'employeur ne doit pas prendre en considération l'état de grossesse d'une
femme pour refuser de l'embaucher, résilier son contrat de travail au cours
d'une période d'essai, sous réserve des dispositions de l'article 23.7,
prononcer une mutation d'emploi ou de poste de travail. II lui est également
interdit de rechercher ou de faire rechercher toutes informations concernant
l'état de grossesse de l'intéressée.


Lors de la visite médicale d'embauche, la femme enceinte peut
présenter un dossier incomplet si certains examens normalement présents se
révèlent dangereux pour sa santé ou celle de l'embryon. Les examens non
effectués sont reportés après l'accouchement."
## Bloc 26,,CHAPITRE 3,Art. 23.4,"Aucun employeur ne peut résilier le contrat de travail d'une salariée
lorsqu'elle est en état de grossesse médicalement constaté et pendant
l'intégralité des périodes de suspension du contrat de travail auxquelles elle a
droit, qu'elle use ou non de ce droit.

Toutefois, il peut résilier le contrat s'il justifie d'une faute lourde de
l'intéressée ou s'il se trouve dans l'impossibilité de maintenir ledit contrat
pour un motif étranger à la grossesse, à l'accouchement ou à l'adoption d'un
enfant de moins de 15 ans.

Sauf s'il est prononcé pour des motifs justifiant, par l'application de
l'alinéa précédant, la résiliation du contrat de travail, le licenciement d'une
salariée est annulé si, dans un délai de quinze jours à compter de sa
notification, l'intéressée envoie à son employeur par tout moyen laissant
trace écrite, soit un certificat médical justifiant qu'elle est en état de
grossesse, soit une attestation justifiant l'arrivée à son foyer, dans un délai de
quinze jours, d'un enfant placé en vue de son adoption âgé moins de 15 ans
avant la notification du licenciement ; cette attestation est délivrée selon le
cas par le médecin traitant ou le juge de tutelle.

Les dispositions des précédents alinéas ne font pas obstacle à l'échéance
du contrat de travail à durée déterminée."
## Bloc 26,,CHAPITRE 3,Art. 23.5,"Toute femme en état de grossesse médicalement constaté peut rompre son
contrat, de travail sans préavis et sans avoir de ce fait à payer une indemnité
de rupture du contrat. La même faculté est offerte à la mère pendant la
période d'allaitement définie par l'article 23.12 du présent Code."
## Bloc 26,,CHAPITRE 3,Art. 23.6,"La salariée a le droit de suspendre le contrat de travail pendant quatorze
semaines consécutives dont six semaines avant la date présumée de
l'accouchement et huit semaines après la date de celui-ci. La période post-
natale des huit semaines est augmentée de deux semaines en cas de
naissance multiple.

La suspension peut être prolongée de trois semaines en cas de maladie
dûment constatée et résultant de la grossesse ou des couches.

Au cas où l'accouchement a lieu après la date présumée, la période
post-natale des huit semaines reste obligatoirement acquise à la femme.

Lorsque l'enfant reste hospitalisé, le congé post-natal est prolongé pour
une période équivalente à la durée d'hospitalisation de l'enfant. La durée de
la prolongation ne peut excéder 12 mois.

Dans le cas où pendant sa grossesse, la femme a fait l'objet d'un
changement d'affectation, en raison de son état de grossesse, elle est
réintégrée dans l'emploi occupé avant cette affectation lorsqu'elle reprend
son travail à l'issue de la période de suspension de son contrat pour congé de
maternité."
## Bloc 26,,CHAPITRE 3,Art. 23.7,"Les dispositions de l'article 23.3 ne font pas obstacle à la mutation
temporaire dans un autre emploi ou poste de travail de la salariée en état de
grossesse, à son initiative ou à celle de l'employeur, si l'état de santé
médicalement constaté l'exige.

En cas de désaccord entre l'employeur et la salariée, la mutation ne peut
être effectuée qu'après avis du médecin-inspecteur du travail communiqué
aux parties intéressées.

La mutation temporaire ne peut excéder la durée de la grossesse et
prend fin dès que l'état de santé de la femme lui permet de retrouver son
emploi ou son poste initial.

Elle ne doit entraîner aucune diminution de rémunération même si le
nouveau poste est inférieur à celui occupé habituellement.

En cas de désaccord, la rupture qui en découle est réputée être du fait de
l'employeur."
## Bloc 26,,CHAPITRE 3,Art. 23.8,"Si l'employeur est dans l'impossibilité de proposer un autre emploi, il fait
connaitre à la femme en état de grossesse et au médecin-inspecteur du travail
et des lois sociales les motifs qui font obstacle à son reclassement provisoire.
Le contrat de travail est alors suspendu jusqu'à la date du congé légal de
maternité. La femme salariée bénéficie dans ce cas d'une garantie de
rémunération à la charge de l'employeur."
## Bloc 26,,CHAPITRE 3,Art. 23.9,"La femme en état de grossesse bénéficie d'une autorisation d'absence pour se
rendre aux examens médicaux obligatoires.


Ces absences n'entraînent aucune diminution de la rémunération et sont
assimilées à une période de travail effectif pour la détermination de la durée
des congés payés ainsi qu'au regard des droits légaux ou conventionnels que
la salariée tient du fait de son ancienneté dans l'entreprise."
## Bloc 26,,CHAPITRE 3,Art. 23.10,"La durée du congé de maternité est assimilée à une période de travail effectif
pour la détermination des droits que la salariée tient de son ancienneté."
## Bloc 26,,CHAPITRE 3,Art. 23.11,"Dès le troisième mois de sa grossesse, la femme a droit, dans la limite des
tarifs des formations sanitaires publiques, au remboursement des soins
médicaux en rapport avec l'état de grossesse et les couches et bénéficie des
allocations prénatales.

Pendant la période des quatorze semaines et sans préjudice des
prolongations prévues à l'article 23.6 alinéa 1, elle a également droit à une
allocation de maternité et à une indemnité journalière égale au salaire qu'elle
percevait au moment de la suspension de son contrat.

Ces prestations sont à la charge de l'institution de prévoyance sociale à
laquelle l'employée est affiliée."
## Bloc 26,,CHAPITRE 3,Art. 23.12,"Pendant une période de quinze mois à compter de la reprise du travail, la
mère a droit à des temps de repos pour allaitement. La durée totale de ces
temps de repos ne peut excéder une heure par journée de travail."
## Bloc 26,,CHAPITRE 3,Art. 23.13,"L'inspecteur du travail et des lois sociales peut requérir l'examen des femmes
et des enfants de moins de 18 ans par un médecin du travail en vue de
vérifier si le travail dont ils sont chargés n'excède pas leurs forces. Cette
réquisition est de droit à la demande des intéressés.

La femme ou l'enfant de moins de 18 ans ne peut être maintenu dans un
emploi ainsi reconnu au-dessus de ses forces et doit être affecté à un emploi
convenable. Si cela n'est pas possible, le contrat doit être résilié avec
paiement des indemnités de préavis et de licenciement, s'il y a lieu.


---"
## Bloc 27,,CHAPITRE 4,,REPOS HEBDOMADAIRE ET JOURS FERIES
## Bloc 27,,CHAPITRE 4,Art. 24.1,"Le repos hebdomadaire est obligatoire. Il est au minimum de vingt-quatre
heures consécutives. Il a lieu en principe le dimanche.

Les modalités d'application du présent article, notamment les
professions pour lesquelles et les conditions dans lesquelles le repos peut
exceptionnellement et pour des motifs nettement établis, soit être donné par
roulement ou collectivement d'autres jours que le dimanche, soit être
suspendu par compensation de certaines fêtes rituelles ou locales, sont fixées
par voie règlementaire."
## Bloc 27,,CHAPITRE 4,Art. 24.2,"La liste et le régime des jours fériés sont déterminés par décret. Le jour de la
fête nationale et le 1er mai, fête du Travail, sont fériés, chômés et payés.


---"
## Bloc 29,,,,"SECTION 1

CONGES PAYES"
## Bloc 29,,,Art. 25.1,"Sauf disposition plus favorable des conventions collectives ou du contrat

individuel, le travailleur acquiert droit au congé payé, à la charge de
l'employeur, à raison de 2,2 jours ouvrables par mois de service effectif."
## Bloc 29,,,Art. 25.2,"Sauf disposition plus favorable des conventions collectives ou du contrat
individuel, la durée annuelle du congé défini à l'article précédent est

augmentée de :

-1 jour ouvrable supp

- 2 jours ouvrab
- 3 jours ouvrab
- 5 jours ouvrab

- 7 jours ouvrab

- 8 jours ouvrab

es su

es su

es Su

es su

Es Su

D

D

D

D

D

D

D

D

D

D

émentaires a
émentaires a
émentaires à
émentaires à

émentaires a

émentaire après 5 ans d'ancienneté dans l'entreprise;

près 10 ans ;
près 15 ans ;
près 20 ans ;

près 25 ans ;

près 30 ans.

La femme salariée ou apprentie bénéficie d'un congé supplémentaire payé

sur les bases suivantes :

- 2 jours ouvrables de congé supplémentaires par enfant à charge si elle a
moins de 21 ans au dernier jour de la période de référence ;


- 2 jours ouvrables de congé supplémentaires par enfant à charge à compter
du 4e si elle a plus de 21 ans au dernier jour de la période de référence.

Le travailleur titulaire de la médaille d'honneur du travail bénéficie d'un
jour ouvrable de congé supplémentaire par an en sus du congé légal.

Le travailleur logé dans l'établissement dont il a la garde et astreint à
une durée de présence de 24 heures continues par jour, a droit à un congé
annuel payé de 2 semaines par an en sus du congé légal et bénéficie des
dispositions de l'alinéa 2 du présent article."
## Bloc 29,,,Art. 25.3,"Pour le calcul de la durée du congé acquis, ne sont pas déduites les absences
pour accident du travail ou maladie professionnelle, celles de formation
syndicale et les périodes de repos de la femme en couches, prévues
respectivement par les articles 16.7 c), 13.32 et 23.6 du présent Code et,
dans une limite de six mois, les absences pour maladies dûment constatées
par un médecin agréé.

Sont décomptés, sur les bases indiquées ci-dessus, les services effectués
sans congés correspondant pour le compte du même employeur quel que soit
le lieu de l'emploi."
## Bloc 29,,,Art. 25.4,"Le droit pour un salarié de prendre effectivement son congé s'ouvre après
une durée de service effectif égale à un an."
## Bloc 29,,,Art. 25.5,"Le congé doit effectivement être pris dans les douze mois après l'embauche
ou le retour du précédent congé.


L'ordre et les dates de départ en congé sont fixés par l'employeur
compte tenu des nécessités du service et, dans la mesure du possible, des
désirs du salarié. Chaque salarié doit être informé au moins quinze jours à
l'avance de ses dates de congé.

Pour tenir compte des variations saisonnières d'activité, les conventions
collectives peuvent déterminer les périodes de l'année pendant lesquelles les
travailleurs devront prendre leur congé."
## Bloc 29,,,Art. 25.6,"Avec l'accord du salarié, le congé peut être fractionné à condition que le
salarié bénéficie d'un repos d'au moins quatorze jours consécutifs, jours de
repos hebdomadaire ou jours fériés éventuels compris.

Pour les salariés employés hors de leur lieu de recrutement, les délais
de route ne sont pas pris en compte dans la durée minimale de repos
ininterrompu. Ces délais ne viennent augmenter que la plus longue de leurs
périodes de congé ainsi fractionné."
## Bloc 29,,,Art. 25.7,"L'employeur doit verser au travailleur, pendant toute la durée du congé, une
allocation au moins égale aux salaires et aux divers éléments de
rémunération définis à l'article 31.9. Cette allocation est versée au travailleur
au moment de son départ en congé."
## Bloc 29,,,Art. 25.8,"Lorsque le contrat de travail prend fin avant que le salarié n'ait pu prendre
effectivement ses congés, une indemnité calculée sur la base des droits à
congé acquis au Jour de l'expiration du contrat doit lui être versée à titre de
compensation."
## Bloc 29,,,Art. 25.9,"Les travailleurs engagés à l'heure ou à la journée pour une occupation
temporaire perçoivent une indemnité compensatrice de congé payé en même
temps que le salaire acquis, au plus tard à la fin de la dernière journée de
travail.

Cette indemnité est égale au douzième de la rémunération acquise au
cours de cette période.

Toutefois, ils ont droit à des congés effectifs s'ils justifient de douze
mois de travail continu au service d'un même employeur.

Art 25.10

Les travailleurs des entreprises de travail temporaire visées à l'article 11.4
qui sont appelés à exécuter leur travail au service d'entreprises utilisatrices
perçoivent, à l'issue de chaque mission, une indemnité compensatrice de
congé égale au douzième de la rémunération totale perçue au cours de la
mission.

Toutefois, dans le cas où leur mission atteint douze mois, ils ont droit à
des congés effectifs dans les conditions prévues au présent chapitre.

L'indemnité compensatrice de congés payés ou les congés effectifs,
selon le cas, sont à la charge de l'entreprise de travail temporaire."
## Bloc 29,,,Art. 25.11,"En dehors des cas prévus aux articles ci-dessus, est nulle et de nul effet toute
convention prévoyant l'octroi d'une indemnité compensatrice en lieu et place
du congé.


---"
## Bloc 30,,,,"SECTION 2 :

PERMISSIONS EXCEPTIONNELLES"
## Bloc 30,,,Art. 25.12,"Le travailleur comptant au moins 6 mois de présence dans l'entreprise et

touché par les événements familiaux dûment justifiés, énumérés ci-après,
dans la limite de 10 jours ouvrables par an, non déductibles du congé

réglementaire et n'entraînant aucune retenue de salaire, bénéficie d'une
permission exceptionnelle pour les cas suivants se rapportant à la famille

légale :

- mariage du travailleur ..….................. 4 jours ouvrables ;
- mariage d'un de ses enfants 2 jours ouvrables ;
- d'un frère, d'une sœur 2 jours ouvrables ;
- décès du conjoint 5 jours ouvrables ;

- décès d'un enfant, du père, de

la mère du travailleur ..…....................... 5 jours ouvrables ;

- décès d'un frère ou d'une sœur 2 jours ouvrables ;

- décès d'un beau-père ou

d'une belle-mère

jours ouvrables ;
jours ouvrables ;
jour ouvrable ;

jour ouvrable ;

- naissance d'un enfant 2
- baptême d'un enfant 1
- PréMIÈTE COMMUNION ss l
- déménagement 1 jour ouvrable.

68


Toute permission de cette nature doit faire l'objet d'une autorisation
préalable de l'employeur, soit par écrit, soit en présence d'un représentant du
personnel.

En cas de force majeure rendant impossible l'autorisation préalable de
‘employeur, la présentation des pièces justifiant l'absence doit s'effectuer
dans les plus brefs délais et, au plus tard, dans les 15 jours qui suivent
‘événement.

Si celui-ci se produit hors du lieu d'emploi et nécessite le déplacement
du travailleur, l'employeur accorde un délai de route de 2 jours lorsque le
lieu où s'est produit l'événement est situé à moins de 400 kilomètres et 3
jours au-delà de 400 kilomètres.

Ces délais de route ne sont pas rémunérés.

En ce qui concerne les autres membres de la famille, non cités ci-dessus,
une permission de 2 jours peut être accordée en cas de décès et d'un jour en
cas de mariage. Ces absences ne sont pas payées.


---"
## Bloc 31,,CHAPITRE 6,,VOYAGES ET TRANSPORTS
## Bloc 31,,CHAPITRE 6,Art. 26.1,"Sous réserve des dispositions prévues à l'article 26.6, sont à la charge de
l'employeur les frais de voyage du travailleur, de son conjoint et de ses
enfants mineurs et/ou majeurs scolarisés, à charge jusqu'à 25 ans vivant
habituellement avec lui ainsi que les frais de transport de leurs bagages :

1. du lieu de la résidence habituelle au lieu d'emploi ;
2. du lieu d'emploi au lieu de la résidence habituelle ;
- en cas d'expiration du contrat à durée déterminée ;

- en cas de résiliation du contrat lorsque le travailleur a acquis droit au congé
dans les conditions de l'article 25.8 ;

- en cas de rupture du contrat du fait de l'employeur ou à la suite d'une faute
lourde de celui-ci ;

- en cas de rupture du contrat due à un cas de force majeure.

3. du lieu d'emploi au lieu de résidence habituelle, et vice-versa, en cas de
congé normal. Le retour sur le lieu d'emploi n'est dû que si le contrat n'est
pas venu à expiration avant la date de fin de congé et si, à cette date, le
travailleur est en état de reprendre son service.

Toutefois, le contrat de travail ou la convention collective peut prévoir
une durée minimum de séjour du travailleur.

Le montant des frais de transport, aller et retour, incombant à
l'entreprise est proportionnel au temps de service du travailleur."
## Bloc 31,,CHAPITRE 6,Art. 26.2,"Lorsque le contrat de travail est résilié pour des causes autres que celles
mentionnées à l'article précédent ou pour faute lourde du travailleur, le
montant des frais de transport, aller et retour, incombant à l'entreprise est
proportionnel au temps de service du travailleur."
## Bloc 31,,CHAPITRE 6,Art. 26.3,"La classe de passage et le poids des bagages sont déterminés par le poste
occupé par l'employé dans l'entreprise, suivant la stipulation de la
convention collective ou, à défaut, suivant les règles adoptées par
l'employeur à l'égard de son personnel ou suivant les usages locaux.

Il est tenu compte dans tous les cas, des charges de famille pour le
calcul du poids des bagages."
## Bloc 31,,CHAPITRE 6,Art. 26.4,"Sauf stipulations contraires, les voyages et les transports sont effectués par
une voie et des transports normaux au choix de l'employeur.

Le travailleur qui use d'une voie et de moyens de transport plus coûteux
que ceux régulièrement choisis ou agréés par l'employeur n'est défrayé par
l'entreprise qu'à concurrence des frais occasionnés par la voie et les moyens
régulièrement choisis.

S'il use d'une voie ou d'un transport plus économique, il ne peut
prétendre qu'au remboursement des frais engagés.

Les délais de transport ne sont pas compris dans la durée maximum du
contrat telle qu'elle est prévue à l'article 15.4 du présent Code."
## Bloc 31,,CHAPITRE 6,Art. 26.5,"À défaut de convention contraire, le travailleur qui use d'une voie et de
moyens de transport moins rapides que ceux régulièrement choisis par
l'employeur ne peut prétendre, de ce fait, à des délais de route plus longs que
ceux prévus pour la voie et les moyens normaux.

S'il use d'une voie ou de moyens plus rapides, il continue à bénéficier,
en plus de la durée de congé proprement dit, des délais qui auraient été
nécessaires avec l'usage de la voie et des moyens choisis par l'employeur."
## Bloc 31,,CHAPITRE 6,Art. 26.6,"Le travailleur qui a cessé son service peut exiger auprès de son ancien
employeur, ses droits en matière de congé, de voyage et de transport dans un
délai maximum d'une année à compter de la cessation de travail chez ledit
employeur.

Toutefois, les frais de voyage ne sont payés par l'employeur qu'en cas
de déplacement effectif du travailleur,"
## Bloc 31,,CHAPITRE 6,Art. 26.7,"Le travailleur qui a cessé son service et qui est dans l'attente du moyen de
transport désigné par son employeur pour regagner sa résidence habituelle,
reçoit de l'employeur une indemnité égale au salaire qu'il aurait perçu, s'il
avait continué à travailler et continué à bénéficier jusqu'à son embarquement
des avantages en nature prévus au contrat.

Le travailleur dont le contrat est signé ou dont le contrat est arrivé à
expiration, et qui reste à la disposition de l'employeur dans l'attente du
moyen de transport lui permettant de quitter sa résidence habituelle pour son
lieu d'emploi ou inversement, reçoit de l'employeur pendant cette période,
une indemnité calculée sur la base de l'allocation de congé."
## Bloc 31,,CHAPITRE 6,Art. 26.8,"Les dispositions du présent chapitre ne peuvent être un obstacle à

l'application de la réglementation sur les conditions d'admission et de séjour
des étrangers.

Le travailleur a le droit d'exiger le versement en espèces du montant des
frais de rapatriement à la charge de l'employeur, dans les limites du
cautionnement qu'il justifie avoir versé.


---"
## Bloc 33,,,,"SECTION 1
ÉCONOMAT"
## Bloc 33,,,Art. 27.1,"Est considérée comme économat toute organisation où l'employeur qui
pratique, directement ou indirectement, la vente ou la cession de
marchandises aux travailleurs de l'entreprise pour leurs besoins personnels et
normaux.

Les économats sont admis sous la triple condition :
a) que les travailleurs ne soient pas obligés de s'y fournir ;

b) que la vente des marchandises y soit faite exclusivement au comptant et
sans bénéfice ;

c) que la compatibilité du ou des économats de l'entreprise soit entièrement
autonome et soumise au contrôle d'une commission de surveillance élue par
les travailleurs.

Le prix des marchandises mises en vente doit être affiché lisiblement.

Tout commerce installé à l'intérieur de l'entreprise est soumis aux
dispositions qui précèdent, à l'exception des coopératives ouvrières.

La vente des alcools et spiritueux est interdite dans les économats ainsi
que sur le lieu d'emploi du travailleur."
## Bloc 33,,,Art. 27.2,"Les conditions d'ouverture, de fonctionnement et de fermeture des
économats sont fixées par décret.


---"
## Bloc 34,,,,"SECTION 2
AUTRES SERVICES SOCIAUX"
## Bloc 34,,,Art. 27.3,"Des services sociaux, notamment des cantines, restaurants, cafétérias,
crèches, terrains de loisirs, sans que cette énumération soit limitative,
peuvent être créés au sein des entreprises dans des conditions déterminées
par décret.


---"
## Bloc 36,,CHAPITRE PREMIER,,DETERMINATION DU SALAIRE
## Bloc 36,,CHAPITRE PREMIER,Art. 31.1,"Par rémunération ou salaire, il faut entendre le salaire minimum catégoriel et
ses accessoires ainsi que tous les autres avantages, payés directement ou
indirectement, en espèce ou en nature, par l'employeur au travailleur en
raison de l'emploi de ce dernier.

Il ne peut être inférieur au salaire minimum catégoriel fixé par
convention ou accord ou à défaut par voie réglementaire.

Aucun salaire n'est dû en cas d'absence, en dehors des cas prévus par la
réglementation et sauf accord entre les parties intéressées,"
## Bloc 36,,CHAPITRE PREMIER,Art. 31.2,"Dans les conditions prévues au présent titre, tout employeur est tenu
d'assurer, pour un même travail ou un travail de valeur égale, l'égalité de
rémunération entre les salariés, quels que soient leur sexe, leur âge, leur
ascendance nationale, leur race, leur religion, leurs opinions politiques et
religieuses, leur origine sociale, leur appartenance ou leur non appartenance
à un syndicat.

Sont considérés comme ayant une valeur égale les travaux qui exigent
des salariés un ensemble comparable de connaissances professionnelles
consacrées par un titre, un diplôme ou une pratique professionnelle, de
capacités découlant de l'expérience acquise, de responsabilités et de charge
physique ou mentale."
## Bloc 36,,CHAPITRE PREMIER,Art. 31.3,"Les différents éléments composant la rémunération doivent être établis selon
des normes identiques pour les hommes et pour les femmes.

Les catégories et classifications professionnelles ainsi que les critères
de promotion professionnelle doivent être communs aux travailleurs des
deux sexes.

Les méthodes d'évaluation des emplois doivent reposer sur des
considérations objectives basées essentiellement sur la nature des travaux
que ces emplois comportent."
## Bloc 36,,CHAPITRE PREMIER,Art. 31.4,"À défaut de convention ou accord collectif, des règlements fixent :
- les catégories professionnelles et les salaires minima correspondants ;

- les taux minima de majoration des heures supplémentaires effectuées de
jour et de nuit pendant les jours ouvrables, les dimanches et les jours fériés ;

- éventuellement, les primes d'ancienneté et d'assiduité."
## Bloc 36,,CHAPITRE PREMIER,Art. 31.5,"La rémunération d'un travail à la tâche ou aux pièces doit être calculée de
telle sorte qu'elle procure au travailleur de capacité moyenne et travaillant
normalement un salaire au moins égal à celui du travailleur rémunéré au
temps effectuant un travail analogue."
## Bloc 36,,CHAPITRE PREMIER,Art. 31.6,"Les taux minima de salaires ainsi que les conditions de rémunération du
travail à la tâche ou aux pièces sont affichés au bureau des employeurs et sur
les lieux de paie du personnel."
## Bloc 36,,CHAPITRE PREMIER,Art. 31.7,"Dans le cas où le travailleur permanent, qui n'est pas originaire du lieu
d'emploi et n'y a pas sa résidence habituelle, ne peut, par ses propres moyens,
se procurer un logement suffisant pour lui et sa famille, l'employeur est tenu
de le lui assurer dans les conditions fixées par décret.

L'employeur est également tenu de fournir ou d'aider à la fourniture de
denrées alimentaires, lorsque ce même travailleur ne peut par ses propres
moyens, obtenir pour lui et sa famille un ravitaillement régulier.

Ces prestations éventuelles constituent un élément du salaire."
## Bloc 36,,CHAPITRE PREMIER,Art. 31.8,"Un décret fixe les montants du Salaire minimum interprofessionnel garanti,
en abrégé SMIG, et du Salaire minimum agricole garanti, en abrégé SMAG,
après avis de la Commission consultative du Travail.

Les partenaires sociaux négocient tous les trois ans, les montants du
SMIG et du SMAG au sein de la Commission consultative du Travail."
## Bloc 36,,CHAPITRE PREMIER,Art. 31.9,"Lorsque la rémunération des services est constituée, en totalité ou en partie,
par des commissions ou primes et prestations diverses ou des indemnités
représentatives de ces prestations, dans la mesure où celles-ci ne constituent
pas un remboursement de frais, il en est tenu compte pour le calcul de la
rémunération du congé payé, ainsi que pour le calcul des indemnités de

préavis, de licenciement et des dommages-intérêts.

Le moment à prendre en considération à ce titre est la moyenne
mensuelle des éléments visés à l'alinéa précédent.

Toutefois, la période sur laquelle s'effectue ce calcul ne peut excéder
les douze mois de service précédant la cessation du travail.


---"
## Bloc 37,,CHAPITRE 2,,"PAIEMENT DU SALAIRE

Art 32.1

Le salaire doit être payé en monnaie ayant cours légal, nonobstant toute
stipulation contraire.

Le paiement de tout ou partie du salaire en alcool, boissons alcoolisées,
drogues est formellement interdit.

Sous réserve des dispositions du chapitre premier du présent titre, nul
n'est tenu d'accepter en tout ou en partie, le paiement en nature de son salaire.

Aucun employeur ne peut restreindre de quelque manière que ce soit la
liberté du travailleur de disposer de son salaire à son gré."
## Bloc 37,,CHAPITRE 2,Art. 32.2,"La paie est faite, sauf cas de force majeure, sur le lieu de travail ou au
bureau de l'employeur lorsqu'il est voisin du lieu de travail. En aucun cas,
elle ne peut être faite dans un débit de boissons ou dans un magasin de vente,
sauf pour les travailleurs qui y sont normalement occupés, n1 le jour où le
travailleur a droit au repos."
## Bloc 37,,CHAPITRE 2,Art. 32.3,"À l'exception des professions dont la liste est définie par décret, le salaire
doit être payé à intervalle régulier ne pouvant excéder quinze jours pour les
travailleurs engagés à la journée ou à la semaine et un mois pour les
travailleurs engagés à la quinzaine ou au mois.

Les paiements mensuels doivent être effectués au plus tard huit jours
après la fin du mois de travail qui donne droit au salaire.


Pour tout travail aux pièces ou au rendement dont l'exécution doit

durer plus d'une quinzaine, les dates de paiement peuvent être fixées de gré à
gré, mais le travailleur doit recevoir chaque quinzaine des acomptes
correspondant au moins à 90 % du salaire minimum et être intégralement
payé dans la quinzaine qui suit la livraison de l'ouvrage.

Les commissions acquises au cours d'un trimestre doivent être payées
dans les trois mois suivant la fin de ce trimestre.

Les participations aux bénéfices réalisés durant un exercice doivent être
payées dans l'année suivante au plus tôt après trois mois et au plus tard avant
neuf mois."
## Bloc 37,,CHAPITRE 2,Art. 32.4,"Les travailleurs absents, le jour de paye peuvent retirer leur salaire aux
heures normales d'ouverture de la caisse et conformément au règlement
intérieur de l'entreprise."
## Bloc 37,,CHAPITRE 2,Art. 32.5,"Le paiement du salaire doit être constaté par une pièce dressée ou certifiée
par l'employeur ou son représentant et émargé par chaque intéressé ou par
deux témoins s'il est illettré. Ces pièces sont conservées par l'employeur dans
les mêmes conditions que les pièces comptables et doivent être présentées à
toute réquisition de l'inspecteur du Travail et des lois sociales.

Les employeurs sont tenus de délivrer au travailleur, au moment du
paiement, un bulletin individuel de paie dont la structure est fixée par voie
réglementaire.

Mention est faite par l'employeur du paiement du salaire sur un registre
manuel ou électronique tenu à cette fin."
## Bloc 37,,CHAPITRE 2,Art. 32.6,"N'est pas opposable au travailleur la mention « pour solde de tout compte »
ou toute autre mention équivalente souscrite par lui, soit au cours de
l'exécution, soit après la résiliation de son contrat de travail et par laquelle le
travailleur renonce à tout ou partie des droits qu'il tient de son contrat de
travail.

L'acceptation sans protestation ni réserve, par le travailleur, d'un
bulletin de paie ne peut valoir renonciation de sa part au paiement de tout ou
partie du salaire, des indemnités et des accessoires du salaire qui lui sont dus
en vertu des dispositions législatives, réglementaires ou contractuelles. Elle
ne peut valoir non plus compte arrêté et réglé et donc avoir pour effet de
faire cesser la prescription des salaires."
## Bloc 37,,CHAPITRE 2,Art. 32.7,"En cas de résiliation ou de rupture de contrat, le salaire et les indemnités
doivent être payés dès la cessation de service. Toutefois, en cas de litige,
l'employeur peut obtenir du président du Tribunal du Travail la consignation
au greffe dudit Tribunal de tout ou partie de la fraction saisissable des
sommes dues.

L'employeur saisit le président du Tribunal du Travail par une
déclaration écrite ou orale faite au plus tard le jour de la cessation des
services devant le greffier du Tribunal qui l'inscrit sur un registre spécial.

La demande aux fins de consignation et de compensation est aussitôt
transmise au président qui fixe la date d'audience la plus proche possible
pour statuer éventuellement en son hôtel, et ce, même un dimanche ou un
jour férié.

Les parties sont immédiatement convoquées ainsi qu'il est dit à l'article
81.18. Elles sont tenues de se présenter en personne au jour et à l'heure fixés
devant le président du Tribunal. Elles peuvent se faire, assister ou


représenter conformément aux dispositions de l'article 81.19 du présent
Code.

La décision est exécutoire immédiatement nonobstant opposition ou
appel.

---"
## Bloc 38,,CHAPITRE 3,,"PRIVITEGES, GARANTIES ET PRESCRIPTION DU SALAIRE"
## Bloc 38,,CHAPITRE 3,Art. 33.1,"Les sommes dues aux entrepreneurs de tous les travaux ayant le caractère de
travaux publics ne peuvent être frappés de saisie-arrêt, ni d'opposition au
préjudice des ouvriers titulaires de créances salariales.

Les créances salariales dues aux travailleurs sont payées de préférence
aux sommes dues aux fournisseurs."
